a_date,a_country_iso2,asn_count
2019-01-01,AM,90
2019-01-02,AM,90
2019-01-03,AM,90
2019-01-04,AM,90
2019-01-05,AM,90
2019-01-06,AM,90
2019-01-07,AM,90
2019-01-08,AM,90
2019-01-09,AM,90
2019-01-10,AM,90
2019-01-11,AM,90
2019-01-12,AM,90
2019-01-13,AM,90
2019-01-14,AM,90
2019-01-15,AM,90
2019-01-16,AM,90
2019-01-17,AM,90
2019-01-18,AM,90
2019-01-19,AM,90
2019-01-20,AM,90
2019-01-21,AM,90
2019-01-22,AM,90
2019-01-23,AM,90
2019-01-24,AM,90
2019-01-25,AM,90
2019-01-26,AM,90
2019-01-27,AM,90
2019-01-28,AM,90
2019-01-29,AM,90
2019-01-30,AM,90
2019-01-31,AM,90
2019-02-01,AM,90
2019-02-02,AM,90
2019-02-03,AM,90
2019-02-04,AM,90
2019-02-05,AM,90
2019-02-06,AM,90
2019-02-07,AM,90
2019-02-08,AM,90
2019-02-09,AM,90
2019-02-10,AM,90
2019-02-11,AM,90
2019-02-12,AM,90
2019-02-13,AM,90
2019-02-14,AM,90
2019-02-15,AM,90
2019-02-16,AM,90
2019-02-17,AM,90
2019-02-18,AM,90
2019-02-19,AM,90
2019-02-20,AM,90
2019-02-21,AM,90
2019-02-22,AM,90
2019-02-23,AM,90
2019-02-24,AM,90
2019-02-25,AM,90
2019-02-26,AM,90
2019-02-27,AM,90
2019-02-28,AM,90
2019-03-01,AM,90
2019-03-02,AM,90
2019-03-03,AM,90
2019-03-04,AM,90
2019-03-05,AM,90
2019-03-06,AM,90
2019-03-07,AM,90
2019-03-08,AM,90
2019-03-09,AM,90
2019-03-10,AM,90
2019-03-11,AM,90
2019-03-12,AM,90
2019-03-13,AM,90
2019-03-14,AM,90
2019-03-15,AM,90
2019-03-16,AM,90
2019-03-17,AM,90
2019-03-18,AM,90
2019-03-19,AM,90
2019-03-20,AM,90
2019-03-21,AM,90
2019-03-22,AM,90
2019-03-23,AM,90
2019-03-24,AM,90
2019-03-25,AM,90
2019-03-26,AM,90
2019-03-27,AM,90
2019-03-28,AM,90
2019-03-29,AM,90
2019-03-30,AM,90
2019-03-31,AM,90
2019-04-01,AM,90
2019-04-02,AM,90
2019-04-03,AM,90
2019-04-04,AM,90
2019-04-05,AM,90
2019-04-06,AM,90
2019-04-07,AM,90
2019-04-08,AM,90
2019-04-09,AM,90
2019-04-10,AM,90
2019-04-11,AM,90
2019-04-12,AM,90
2019-04-13,AM,90
2019-04-14,AM,90
2019-04-15,AM,90
2019-04-16,AM,90
2019-04-17,AM,90
2019-04-18,AM,90
2019-04-19,AM,90
2019-04-20,AM,90
2019-04-21,AM,90
2019-04-22,AM,90
2019-04-23,AM,90
2019-04-24,AM,90
2019-04-25,AM,90
2019-04-26,AM,90
2019-04-27,AM,90
2019-04-28,AM,90
2019-04-29,AM,90
2019-04-30,AM,90
2019-05-01,AM,90
2019-05-02,AM,90
2019-05-03,AM,90
2019-05-04,AM,90
2019-05-05,AM,90
2019-05-06,AM,90
2019-05-07,AM,90
2019-05-08,AM,90
2019-05-09,AM,90
2019-05-10,AM,90
2019-05-11,AM,90
2019-05-12,AM,90
2019-05-13,AM,90
2019-05-14,AM,90
2019-05-15,AM,90
2019-05-16,AM,90
2019-05-17,AM,90
2019-05-18,AM,90
2019-05-19,AM,90
2019-05-20,AM,90
2019-05-21,AM,90
2019-05-22,AM,90
2019-05-23,AM,90
2019-05-24,AM,90
2019-05-25,AM,90
2019-05-26,AM,90
2019-05-27,AM,90
2019-05-28,AM,90
2019-05-29,AM,90
2019-05-30,AM,90
2019-05-31,AM,90
2019-06-01,AM,90
2019-06-02,AM,90
2019-06-03,AM,90
2019-06-04,AM,90
2019-06-05,AM,90
2019-06-06,AM,90
2019-06-07,AM,90
2019-06-08,AM,90
2019-06-09,AM,90
2019-06-10,AM,90
2019-06-11,AM,90
2019-06-12,AM,90
2019-06-13,AM,90
2019-06-14,AM,90
2019-06-15,AM,90
2019-06-16,AM,90
2019-06-17,AM,90
2019-06-18,AM,90
2019-06-19,AM,90
2019-06-20,AM,90
2019-06-21,AM,90
2019-06-22,AM,90
2019-06-23,AM,90
2019-06-24,AM,90
2019-06-25,AM,90
2019-06-26,AM,90
2019-06-27,AM,90
2019-06-28,AM,90
2019-06-29,AM,90
2019-06-30,AM,90
2019-07-01,AM,90
2019-07-02,AM,90
2019-07-03,AM,90
2019-07-04,AM,90
2019-07-05,AM,90
2019-07-06,AM,90
2019-07-07,AM,90
2019-07-08,AM,90
2019-07-09,AM,90
2019-07-10,AM,90
2019-07-11,AM,90
2019-07-12,AM,90
2019-07-13,AM,90
2019-07-14,AM,90
2019-07-15,AM,90
2019-07-16,AM,90
2019-07-17,AM,90
2019-07-18,AM,90
2019-07-19,AM,90
2019-07-20,AM,90
2019-07-21,AM,90
2019-07-22,AM,90
2019-07-23,AM,90
2019-07-24,AM,90
2019-07-25,AM,90
2019-07-26,AM,90
2019-07-27,AM,90
2019-07-28,AM,90
2019-07-29,AM,90
2019-07-30,AM,90
2019-07-31,AM,90
2019-08-01,AM,90
2019-08-02,AM,90
2019-08-03,AM,90
2019-08-04,AM,90
2019-08-05,AM,90
2019-08-06,AM,90
2019-08-07,AM,90
2019-08-08,AM,90
2019-08-09,AM,90
2019-08-10,AM,90
2019-08-11,AM,90
2019-08-12,AM,90
2019-08-13,AM,90
2019-08-14,AM,90
2019-08-15,AM,90
2019-08-16,AM,90
2019-08-17,AM,90
2019-08-18,AM,90
2019-08-19,AM,90
2019-08-20,AM,90
2019-08-21,AM,90
2019-08-22,AM,90
2019-08-23,AM,90
2019-08-24,AM,90
2019-08-25,AM,90
2019-08-26,AM,90
2019-08-27,AM,90
2019-08-28,AM,90
2019-08-29,AM,90
2019-08-30,AM,90
2019-08-31,AM,90
2019-09-01,AM,90
2019-09-02,AM,90
2019-09-03,AM,90
